Title,Company,Location,Platform,URL,Date Scraped
"Join Eaton’s Electrical Engineering Team in Dubai!","Eaton","Dubai, United Arab Emirates","LinkedIn","https://ae.linkedin.com/jobs/view/join-eaton%E2%80%99s-electrical-engineering-team-in-dubai%21-at-eaton-3981465878?position=1&pageNum=0&refId=1SSRFsXGsCML1VwkG7Wbjg%3D%3D&trackingId=V%2Fzgou4h26Mi6%2Fub6xCGSA%3D%3D","2025-10-25"
"Site Engineer - Electrical","Emirates Electrical Engineering LLC","Dubai, Dubai, United Arab Emirates","LinkedIn","https://ae.linkedin.com/jobs/view/site-engineer-electrical-at-emirates-electrical-engineering-llc-4317324448?position=2&pageNum=0&refId=1SSRFsXGsCML1VwkG7Wbjg%3D%3D&trackingId=jqPvC5Ig2cCbDGozVqbAcw%3D%3D","2025-10-25"
"Robotics Engineer","Expert Hub Robotics","Dubai, Dubai, United Arab Emirates","LinkedIn","https://ae.linkedin.com/jobs/view/robotics-engineer-at-expert-hub-robotics-4314774228?position=3&pageNum=0&refId=1SSRFsXGsCML1VwkG7Wbjg%3D%3D&trackingId=p1q00pshqVJebdUy98kg7g%3D%3D","2025-10-25"
"Electrical Engineer (MEP)","Al Khayyat Investments (AKI)","Dubai, United Arab Emirates","LinkedIn","https://ae.linkedin.com/jobs/view/electrical-engineer-mep-at-al-khayyat-investments-aki-4310745679?position=4&pageNum=0&refId=1SSRFsXGsCML1VwkG7Wbjg%3D%3D&trackingId=%2FR8S9RTjINDOhn4kh23gZA%3D%3D","2025-10-25"
"Electrical Engineer – Generators (Installation & Maintenance)","Azizi Developments","Dubai, United Arab Emirates","LinkedIn","https://ae.linkedin.com/jobs/view/electrical-engineer-%E2%80%93-generators-installation-maintenance-at-azizi-developments-4305889499?position=5&pageNum=0&refId=1SSRFsXGsCML1VwkG7Wbjg%3D%3D&trackingId=gVhtuR5KxxciIPI9IKa1bQ%3D%3D","2025-10-25"
"Trainee Engineer - Electrical","Meraki Group","Dubai, Dubai, United Arab Emirates","LinkedIn","https://ae.linkedin.com/jobs/view/trainee-engineer-electrical-at-meraki-group-4313222110?position=6&pageNum=0&refId=1SSRFsXGsCML1VwkG7Wbjg%3D%3D&trackingId=UwULmMs3crAyIdadrF86ZA%3D%3D","2025-10-25"
"Mechanical Engineer - Automation Technology","Eaton","Dubai, Dubai, United Arab Emirates","LinkedIn","https://ae.linkedin.com/jobs/view/mechanical-engineer-automation-technology-at-eaton-4299530482?position=7&pageNum=0&refId=1SSRFsXGsCML1VwkG7Wbjg%3D%3D&trackingId=QZvfowZObpgrSa0DF9Bjvw%3D%3D","2025-10-25"
"AUTOMATION ENGINEER","KILONEWTONS","Dubai, Dubai, United Arab Emirates","LinkedIn","https://ae.linkedin.com/jobs/view/automation-engineer-at-kilonewtons-4283630663?position=8&pageNum=0&refId=1SSRFsXGsCML1VwkG7Wbjg%3D%3D&trackingId=uJc1ClhyPLoubQDwkZ2Zzw%3D%3D","2025-10-25"
"Electrical Engineer (BMMS)","Egis","Dubai, Dubai, United Arab Emirates","LinkedIn","https://ae.linkedin.com/jobs/view/electrical-engineer-bmms-at-egis-4331102921?position=9&pageNum=0&refId=1SSRFsXGsCML1VwkG7Wbjg%3D%3D&trackingId=mbx30sgM7VyQCjTtwUiDmw%3D%3D","2025-10-25"
"Senior Automation Engineer","SecurityHQ","Dubai, Dubai, United Arab Emirates","LinkedIn","https://ae.linkedin.com/jobs/view/senior-automation-engineer-at-securityhq-4278385309?position=10&pageNum=0&refId=1SSRFsXGsCML1VwkG7Wbjg%3D%3D&trackingId=tw9fonYz8z7nS6r84nvLfw%3D%3D","2025-10-25"
"Pre-Sales Solutions Engineer","","Dubai, UAE","Bayt.com","https://www.bayt.com/en/uae/jobs/pre-sales-solutions-engineer-5384107/","2025-10-25"
"Pre-Sales Solutions Engineer","","Dubai, UAE","Bayt.com","https://www.bayt.com/en/uae/jobs/pre-sales-solutions-engineer-5384070/","2025-10-25"
"IT Helpdesk Technician","","Dubai, UAE","Bayt.com","https://www.bayt.com/en/uae/jobs/it-helpdesk-technician-5366015/","2025-10-25"
"Instrumentation, Controls and Automation Lead","UAE","Dubai, UAE","Bayt.com","https://www.bayt.com/en/uae/jobs/instrumentation-controls-and-automation-lead-73546497/","2025-10-25"
"Technical Application Specialist (UAE Nationals only)","UAE","Dubai, UAE","Bayt.com","https://www.bayt.com/en/uae/jobs/technical-application-specialist-uae-nationals-only-73543446/","2025-10-25"
"Instrumentation Engineer (Sewerage Treatment Plant)","Dubai · UAE","Dubai, UAE","Bayt.com","https://www.bayt.com/en/uae/jobs/instrumentation-engineer-sewerage-treatment-plant-73491700/","2025-10-25"
"Automation Engineer, Reliability Maintenance Engineering","UAE","Dubai, UAE","Bayt.com","https://www.bayt.com/en/uae/jobs/automation-engineer-reliability-maintenance-engineering-73507453/","2025-10-25"
"Senior Security Engineer","Dubai · UAE","Dubai, UAE","Bayt.com","https://www.bayt.com/en/uae/jobs/senior-security-engineer-73446417/","2025-10-25"
"LabOps Engineer","UAE","Dubai, UAE","Bayt.com","https://www.bayt.com/en/uae/jobs/labops-engineer-73429073/","2025-10-25"
"Senior Technician - Structures","Dubai · UAE","Dubai, UAE","Bayt.com","https://www.bayt.com/en/uae/jobs/senior-technician-structures-73379001/","2025-10-25"
